epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,578.358,1.59136,2.93452,1.69017,0.56875,0.31842,0.35508,0.17179,1.79553,2.08137,1.84011,0.00999552,0.00333184,0.00999552,0.00333184,0.00999552,0.00333184,0.00999552,0.00333184
2,1071.08,1.61618,2.30952,1.71877,0.57038,0.34551,0.37671,0.18288,1.83084,2.02103,1.85208,0.0193357,0.00644522,0.0193357,0.00644522,0.0193357,0.00644522,0.0193357,0.00644522
3,1535.4,1.67547,2.3379,1.77493,0.46657,0.34911,0.35591,0.16218,1.9339,2.17038,2.02298,0.0280158,0.0093386,0.0280158,0.0093386,0.0280158,0.0093386,0.0280158,0.0093386
4,2001.9,1.66521,2.26526,1.77407,0.59519,0.42643,0.47317,0.23307,1.74677,1.82136,1.83212,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,2467.49,1.58645,2.10424,1.71803,0.62359,0.44475,0.51168,0.25782,1.71703,1.7175,1.76499,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,2930.63,1.53965,1.99476,1.68389,0.63545,0.47503,0.53738,0.28021,1.66573,1.58743,1.73638,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,3401.69,1.50581,1.89621,1.64794,0.64215,0.49108,0.5523,0.29117,1.62642,1.54224,1.68834,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,3866.78,1.47024,1.81712,1.6174,0.65797,0.50571,0.57176,0.30936,1.58541,1.46653,1.63087,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,4331.92,1.4483,1.75095,1.59896,0.67204,0.51511,0.59016,0.32031,1.57254,1.43398,1.62563,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,4797.21,1.42458,1.69743,1.57926,0.7339,0.52157,0.61643,0.33993,1.5572,1.34718,1.59348,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,5329.48,1.4044,1.6312,1.55252,0.68913,0.57378,0.63593,0.35182,1.52841,1.31831,1.57412,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,5809.37,1.38139,1.57661,1.53176,0.68531,0.57449,0.64247,0.36594,1.50928,1.27838,1.55358,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,6292.99,1.36855,1.53439,1.51642,0.72717,0.57758,0.65298,0.37029,1.49574,1.25366,1.53638,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,6748.28,1.34166,1.49552,1.50109,0.72512,0.59587,0.66344,0.37884,1.48402,1.21836,1.52427,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,7124.53,1.32782,1.45706,1.48544,0.74003,0.59665,0.67298,0.38808,1.46994,1.18754,1.51141,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,7508.07,1.30913,1.42394,1.4717,0.74897,0.60179,0.68669,0.39946,1.45957,1.15899,1.50166,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,7890.88,1.29327,1.38169,1.4597,0.74971,0.60943,0.68828,0.40224,1.4537,1.1464,1.49977,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,8267.48,1.27762,1.33361,1.44207,0.75476,0.6073,0.69351,0.40738,1.44553,1.12683,1.48986,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,8658.63,1.25436,1.29822,1.42516,0.78886,0.60303,0.70281,0.41458,1.4363,1.10985,1.48066,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,9047.62,1.24359,1.27432,1.4174,0.78364,0.60582,0.7069,0.42044,1.43638,1.09524,1.47561,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,9454.86,1.29031,1.14045,1.47535,0.79849,0.61107,0.71593,0.42343,1.42542,1.06813,1.46774,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,9838.38,1.25994,1.07987,1.45163,0.79162,0.6232,0.72217,0.43203,1.41879,1.05533,1.46205,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,10209.1,1.22791,1.0348,1.42882,0.7955,0.61986,0.72575,0.43733,1.40865,1.04285,1.45721,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,10610.5,1.19755,0.99392,1.40488,0.80726,0.62201,0.73028,0.44337,1.4003,1.02956,1.45286,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,11024.1,1.17257,0.9543,1.38854,0.81097,0.6269,0.73414,0.44683,1.396,1.01939,1.44972,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,11441.9,1.15073,0.92065,1.36896,0.82359,0.62104,0.73522,0.45097,1.39223,1.01044,1.44685,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,11866.8,1.12844,0.89194,1.35086,0.81097,0.6303,0.73812,0.4534,1.38913,1.0032,1.44378,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,12266.1,1.09902,0.85572,1.3278,0.81769,0.62851,0.74012,0.45595,1.38773,0.999,1.44204,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,12687.9,1.07811,0.83561,1.3153,0.81746,0.63333,0.74138,0.45742,1.38785,0.99473,1.44249,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,13097.9,1.06306,0.81141,1.30656,0.81344,0.64243,0.74216,0.45942,1.38802,0.99081,1.44303,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
